age,ahidup
0,16.80096
1,17.09819
2,17.08703
3,17.07314
4,17.0567
5,17.03786
6,17.01675
7,16.99351
8,16.96823
9,16.941
10,16.91187
11,16.88089
12,16.84807
13,16.8134
14,16.77685
15,16.73836
16,16.69782
17,16.65515
18,16.61024
19,16.56299
20,16.5133
21,16.46105
22,16.40614
23,16.34843
24,16.28783
25,16.22419
26,16.1574
27,16.08733
28,16.01385
29,15.93683
30,15.85612
31,15.77161
32,15.68313
33,15.59057
34,15.49378
35,15.39262
36,15.28696
37,15.17666
38,15.06159
39,14.94161
40,14.81661
41,14.68645
42,14.55102
43,14.41022
44,14.26394
45,14.11209
46,13.95459
47,13.79136
48,13.62235
49,13.44752
50,13.26683
51,13.08027
52,12.88785
53,12.6896
54,12.48556
55,12.27581
56,12.06042
57,11.83953
58,11.61327
59,11.38181
60,11.14535
61,10.90412
62,10.65836
63,10.40837
64,10.15444
65,9.89693
66,9.63619
67,9.37262
68,9.10664
69,8.8387
70,8.56925
71,8.29879
72,8.02781
73,7.75683
74,7.48639
75,7.21702
76,6.94925
77,6.68364
78,6.42071
79,6.16101
