age,qx,px,lx,dx
0,0.00266,0.99734,1000000,2660
1,0.00041,0.99959,997340,409
2,0.00031,0.99969,996931,309
3,0.00024,0.99976,996622,239
4,0.00021,0.99979,996383,209
5,0.0002,0.9998,996174,199
6,0.00022,0.99978,995974,219
7,0.00023,0.99977,995755,229
8,0.00022,0.99978,995526,219
9,0.00021,0.99979,995307,209
10,0.00019,0.99981,995098,189
11,0.00018,0.99982,994909,179
12,0.0002,0.9998,994730,199
13,0.00022,0.99978,994531,219
14,0.00023,0.99977,994312,229
15,0.00023,0.99977,994084,229
16,0.00024,0.99976,993855,239
17,0.00024,0.99976,993616,238
18,0.00025,0.99975,993378,248
19,0.00026,0.99974,993130,258
20,0.00027,0.99973,992871,268
21,0.00028,0.99972,992603,278
22,0.0003,0.9997,992325,298
23,0.00032,0.99968,992028,317
24,0.00034,0.99966,991710,337
25,0.00038,0.99962,991373,377
26,0.00042,0.99958,990996,416
27,0.00046,0.99954,990580,456
28,0.00049,0.99951,990124,485
29,0.00052,0.99948,989639,515
30,0.00056,0.99944,989125,554
31,0.0006,0.9994,988571,593
32,0.00064,0.99936,987978,632
33,0.00069,0.99931,987345,681
34,0.00074,0.99926,986664,730
35,0.0008,0.9992,985934,789
36,0.00086,0.99914,985145,847
37,0.00093,0.99907,984298,915
38,0.001,0.999,983383,983
39,0.00108,0.99892,982399,1061
40,0.00118,0.99882,981338,1158
41,0.00128,0.99872,980180,1255
42,0.00141,0.99859,978926,1380
43,0.00154,0.99846,977545,1505
44,0.00169,0.99831,976040,1650
45,0.00187,0.99813,974390,1822
46,0.00209,0.99791,972568,2033
47,0.0023,0.9977,970536,2232
48,0.00253,0.99747,968303,2450
49,0.00277,0.99723,965854,2675
50,0.00305,0.99695,963178,2938
51,0.00335,0.99665,960240,3217
52,0.00368,0.99632,957024,3522
53,0.00403,0.99597,953502,3843
54,0.00442,0.99558,949659,4197
55,0.00483,0.99517,945462,4567
56,0.00524,0.99476,940895,4930
57,0.00563,0.99437,935965,5269
58,0.00601,0.99399,930695,5593
59,0.00636,0.99364,925102,5884
60,0.00671,0.99329,919218,6168
61,0.00707,0.99293,913050,6455
62,0.00746,0.99254,906595,6763
63,0.00788,0.99212,899832,7091
64,0.00833,0.99167,892741,7437
65,0.00883,0.99117,885305,7817
66,0.0094,0.9906,877487,8248
67,0.01005,0.98995,869239,8736
68,0.01076,0.98924,860503,9259
69,0.0115,0.9885,851244,9789
70,0.01229,0.98771,841455,10341
71,0.01314,0.98686,831113,10921
72,0.01406,0.98594,820193,11532
73,0.01508,0.98492,808661,12195
74,0.0162,0.9838,796466,12903
75,0.01743,0.98257,783563,13658
76,0.01879,0.98121,769906,14467
77,0.0203,0.9797,755439,15335
78,0.02326,0.97674,740104,17215
79,0.0288,0.9712,722889,20819
80,0.03569,0.96431,702070,25057
81,0.04208,0.95792,677013,28489
82,0.04907,0.95093,648524,31823
83,0.0552,0.9448,616701,34042
84,0.06086,0.93914,582659,35461
85,0.06715,0.93285,547199,36744
86,0.07318,0.92682,510454,37355
87,0.08155,0.91845,473099,38581
88,0.09045,0.90955,434518,39302
89,0.10001,0.89999,395216,39526
90,0.10913,0.89087,355690,38816
91,0.11521,0.88479,316874,36507
92,0.12499,0.87501,280367,35043
93,0.13826,0.86174,245324,33918
94,0.15451,0.84549,211405,32664
95,0.17429,0.82571,178741,31153
96,0.19155,0.80845,147588,28271
97,0.20596,0.79404,119318,24575
98,0.22227,0.77773,94743,21059
99,0.23736,0.76264,73685,17490
100,0.2581,0.7419,56195,14504
101,0.28068,0.71932,41691,11702
102,0.30562,0.69438,29989,9165
103,0.33315,0.66685,20824,6937
104,0.36369,0.63631,13886,5050
105,0.39318,0.60682,8836,3474
106,0.42883,0.57117,5362,2299
107,0.46604,0.53396,3063,1427
108,0.50427,0.49573,1635,825
109,0.54477,0.45523,811,442
110,0.58702,0.41298,369,217
111,1,0,152,152
